ID,4CO_ID,Status,Name,Num turbines,Turbine capacity,Total IC,Composite,Shares IC with,Cluster,Commission year,Commission month,Owner,area,centroid_lon,centroid_lat,IC_density,turbine_density,shared_area,IC_numeric,num_turbines_numeric
46,NL0E,Under Construction,Hollandse Kust Zuid Holland III and IV,15,11.0,165,,46.0,45,2024.0,6.0,Vattenfall and others,21.922837052549124,4.045791482811452,52.247082290405366,7.526398139277976,0.6842180126616342,21.922837052549124,165.0,15.0
47,NL0D,Under Construction,Hollandse Kust Zuid Holland I and II,35,11.0,385,,47.0,45,2024.0,6.0,Vattenfall and others,47.93284656980067,3.9879117940983986,52.29687451556838,8.032070439199895,0.730188221745445,47.93284656980067,384.99999999999994,35.0
48,NL0E,Under Construction,Hollandse Kust Zuid Holland III and IV,16,11.0,176,,48.0,45,2024.0,6.0,Vattenfall and others,40.15874239603857,4.114219770147051,52.301153819268286,4.382607360168763,0.3984188509244331,40.15874239603857,176.0,16.0
49,NL0E,Under Construction,Hollandse Kust Zuid Holland III and IV,9,11.0,99,,49.0,45,2024.0,6.0,Vattenfall and others,12.645522935615551,4.152165545792498,52.34146577514815,7.828857731234738,0.711714339203158,12.645522935615551,99.0,9.0
50,NL0D,Under Construction,Hollandse Kust Zuid Holland I and II,24,11.0,264,,50.0,45,2024.0,6.0,Vattenfall and others,45.50764735394528,4.017870565997269,52.37188733189723,5.80122276914657,0.5273838881042336,45.50764735394528,264.0,24.0
51,NL0D,Under Construction,Hollandse Kust Zuid Holland I and II,5,11.0,55,,51.0,45,2024.0,6.0,Vattenfall and others,6.8360505837953225,4.109545847255436,52.38928069622185,8.04558119133525,0.7314164719395682,6.8360505837953225,55.0,5.0
52,NL0D,Under Construction,Hollandse Kust Zuid Holland I and II,5,11.0,55,,52.0,45,2024.0,6.0,Vattenfall and others,4.528599395516283,4.112623467103109,52.41371503020062,12.145035406411727,1.1040941278556116,4.528599395516283,55.0,5.0
53,NL0E,Under Construction,Hollandse Kust Zuid Holland III and IV,10,11.0,110,,53.0,45,2024.0,6.0,Vattenfall and others,15.618617908420152,4.229106713439606,52.4041914973059,7.042876690177427,0.6402615172888569,15.618617908420152,110.0,10.0
54,NL32,Operational,Eneco Luchterduinen,43,3.0,129,,54.0,45,2015.0,9.0,Various,16.613580196832093,4.170148453209972,52.41060508276536,7.764732133089408,2.588244044363136,16.613580196832093,129.0,43.0
55,NL02,Operational,Egmond aan Zee,36,3.0,108,,55.0,55,2007.0,1.0,Shell Wind Energy Ltd,23.67060059158755,4.4015835800146945,52.60795584116347,4.562621872737053,1.5208739575790178,23.67060059158755,108.0,36.0
56,NL0F,Under Construction,Hollandse Kust Noord,69,11.0,759,,56.0,56,2023.0,12.0,Shell New Energies,373.7838505115008,4.2707230248348464,52.70683949512273,2.0305853207979796,0.18459866552708906,373.7838505115008,759.0,69.0
57,NL1F,Development Zone,Hollandse Kust West VIII,,,700,,57.0,57,,,,127.98202308419505,3.6230123626433985,52.56361341884856,5.469518164590144,,127.98202308419505,700.0,
58,NL1Q,Consent Authorised,Hollandse Kust West VII,76,10.0,760,,58.0,57,2026.0,1.0,RWE,96.34488830580557,3.7008794412080035,52.645041755346625,7.888327168824002,0.7888327168824003,96.34488830580557,759.9999999999999,76.0
59,NL0O,Consent Authorised,Hollandse Kust West VI,54,,693-756,,59.0,57,2026.0,1.0,"Shell Wind Energy Ltd, Eneco",85.93931224656811,3.8089370719615716,52.73367799808759,8.430367675288583,0.6283503857357949,85.93931224656811,724.5,54.0
60,NL0V,Development Zone,IJmuiden Ver - Designated Wind Energy Area,60-90,,,,60.0,60,,,,284.28130393399323,3.3655730257286516,52.70769393695576,,0.26382318837757307,284.28130393399323,,75.0
61,NL0Q,Development Zone,IJmuiden Ver - Site I,,,1000,,61.0,60,,,,90.95137923297915,3.5484494898873016,52.812955475640976,10.994885491933234,,90.95137923297915,1000.0,
62,NL0R,Development Zone,IJmuiden Ver - Site II,,,1000,,62.0,60,,,,96.22252605946959,3.425928385788702,52.85117422206704,10.392576883524734,,96.22252605946959,1000.0,
63,NL0S,Development Zone,IJmuiden Ver - Site III,,,1000,,63.0,60,,,,94.52996224905345,3.6394536652286216,52.89438465130433,10.578656504329802,,94.52996224905345,1000.0,
64,NL0T,Development Zone,IJmuiden Ver - Site IV,,,1000,,64.0,60,,,,103.30859894285739,3.51555459290824,52.95840231114907,9.679736345598156,,103.30859894285739,1000.0,
65,UK66,Consent Authorised,East Anglia Hub – THREE,95,14.7368421052632,1400,65.0,65.0,65,2026.0,12.0,ScottishPower Renewables,295.7625377050678,2.8570318649560904,52.676948615197176,4.7335271426297725,0.32120362753559173,295.7625377050678,1400.0,95.0
66,UK67,Consent Authorised,Norfolk Vanguard,120-128,,1800,65.0,66.0,65,2029.0,11.0,Vattenfall,293.4602134268022,2.9261152036867806,52.84140853517525,6.1337105258017335,0.4225445028885639,583.4819793712841,905.3036817648127,62.0
67,UK69,Consent Authorised,Norfolk Boreas,129,13.953488372093,1800,,67.0,65,2031.0,1.0,Vattenfall,711.6178097492998,2.9425307072923093,53.055331161115674,2.529447654822092,0.1812770819289166,711.6178097492998,1800.0000000000002,129.0
68,UK67,Consent Authorised,Norfolk Vanguard,,,,,66.0,68,2029.0,11.0,Vattenfall,290.0217659444819,2.4780322784113133,52.92484998709155,,,583.4819793712841,894.6963182351874,62.0
69,NL1T,Development Zone,Nederwiek Zuid I,,,2000,,69.0,69,,,,252.04982146040848,3.190132072320206,53.154533956780114,7.934939165644901,,252.04982146040848,2000.0,
70,UK23,Operational,Scroby Sands,30,2.0,60,,70.0,70,2004.0,12.0,RWE,4.4484487061974685,1.8012524886881407,52.650478739541654,13.487848003374634,6.743924001687317,4.4484487061974685,60.0,30.0
71,UK11,Operational,Inner Dowsing,27,3.6,97.2,71.0,71.0,71,2009.0,3.0,Various,8.717113777748423,0.44491373536575185,53.18204686769159,11.150479674604656,3.09735546516796,8.717113777748423,97.2,27.0
72,UK13,Operational,Lincs,3,3.6,10.8,71.0,72.0,71,2013.0,9.0,Orsted and others,1.3247080349737357,0.45333838635480245,53.20089345942392,8.152739860307504,2.2646499611965285,1.3247080349737357,10.8,3.0
73,UK15,Operational,Lynn,27,3.6,97.2,73.0,73.0,71,2009.0,3.0,Various,8.330544781396611,0.45499944855955804,53.128514491145424,11.667904386885064,3.2410845519125178,8.330544781396611,97.2,27.0
74,UK13,Operational,Lincs,72,3.6,259.2,73.0,74.0,71,2013.0,9.0,Orsted and others,36.46762371496421,0.4920042947099601,53.18279530501505,7.107674523186419,1.9743540342184498,36.46762371496421,259.2,72.0
75,UK18,Operational,Race Bank,91,6.3,573.3,,75.0,75,2018.0,2.0,Orsted and others,64.19916408185242,0.8370855677857305,53.27886279051733,8.930022815702959,1.4174639390004697,64.19916408185242,573.3,91.0
76,UK27,Operational,Sheringham Shoal,88,3.6,316.8,76.0,76.0,76,2013.0,4.0,Various,34.674316124119805,1.1490123662061051,53.14048450237762,9.136445513906782,2.537901531640773,34.674316124119805,316.8,88.0
77,UK4H,Consent Application Submitted,Sheringham Shoal Extension,27,11.7407407407407,317,76.0,77.0,76,,,Equinor and others,91.63723158867906,1.1623040151459836,53.172601557666695,3.459292631436963,0.29464006639999374,91.63723158867906,317.0,27.0
78,UK04,Operational,Dudgeon,67,6.0,402,78.0,78.0,78,2017.0,10.0,Various,55.825071955210944,1.3767494209857238,53.27633012484241,7.201065505522839,1.2001775842538067,55.825071955210944,402.0,67.0
79,UK4G,Consent Application Submitted,Dudgeon Extension,34,11.8235294117647,402,78.0,79.0,78,,,Equinor and others,40.32122707132838,1.4696357601134542,53.199737963316636,9.969934677058829,0.843228306019901,102.77884616980586,157.70884658399572,13.0
80,UK4G,Consent Application Submitted,Dudgeon Extension,,,,78.0,79.0,78,,,Equinor and others,62.45761909847748,1.3128461656417676,53.34395393907517,,,102.77884616980586,244.29115341600428,21.0
81,UK30,Operational,Triton Knoll,90,9.52222222222222,857,,81.0,81,2022.0,4.0,RWE and others,148.65108656862475,0.8226362309422061,53.48651751063784,5.76517817516501,0.6054446158282974,148.65108656862475,857.0,90.0
82,UK4Z,Concept,Outer Dowsing,75-100,,1500,,82.0,82,,,"TotalEnergies, Green Investment Group",514.8634609358908,1.2679625548996298,53.58688158948094,2.9133937709881015,0.16994796997430595,514.8634609358908,1500.0,88.0
83,UK10,Operational,Humber Gateway,73,3.0,219,,83.0,83,2015.0,5.0,RWE and others,24.618932419243794,0.26444830790313095,53.64593235650172,8.895592882362967,2.9651976274543226,24.618932419243794,219.0,73.0
84,UK34,Operational,Westermost Rough,35,6.0,210,,84.0,84,2015.0,5.0,Orsted and others,35.31115505364635,0.10837092040583983,53.80983529255271,5.947129163035257,0.9911881938392094,35.31115505364635,210.0,35.0
85,UK1U,Operational,Hornsea Project Two,165,8.4,1386,85.0,85.0,85,2022.0,8.0,Orsted and others,486.6026787354434,1.6655531585868877,53.97729973499646,2.8483197083950738,0.3390856795708421,486.6026787354434,1386.0,165.0
86,UK81,Operational,Hornsea Project One,174,7.0,1218,85.0,86.0,85,2019.0,12.0,Orsted and others,424.17923903525843,1.8990305631867663,53.92039916520429,2.8714276605573286,0.4102039515081898,424.17923903525843,1218.0,174.0
87,UK1K,Consent Authorised,Hornsea Project Three,200-231,,2852,,87.0,87,2027.0,1.0,Orsted,720.8588588288636,2.5256201804414102,53.914520151908455,3.956391691757072,0.29894895146341127,720.8588588288636,2852.0,216.0
88,NL0X,Development Zone,Ijmuiden Ver - Site V,67,14.9253731343284,1000,,88.0,88,,,,121.75678276456193,3.7918185326853613,53.01388600885939,8.213094805023513,0.5502773519365753,121.75678276456193,1000.0,67.0
89,NL1R,Development Zone,Ijmuiden Ver - Site VI,67,14.9253731343284,1000,89.0,89.0,88,,,,98.77357870327572,3.650992332787443,53.07766584222157,10.124164914628492,0.6783190492801089,98.77357870327572,1000.0,67.0
